CustomerID,recency,frequency,monetary,R,F,M,RFM_Score,Segment
12422.0,95,3,803.56,2,3,3,233,At Risk
12423.0,0,7,1621.38,5,5,4,554,Champions
12424.0,162,2,1760.96,2,2,4,224,Hibernating
12425.0,77,1,777.2,2,1,3,213,Hibernating
12426.0,194,1,582.73,1,1,3,113,Hibernating
12427.0,21,2,522.3,4,2,3,423,Potential Loyalist
12428.0,25,9,7956.46,4,5,5,455,Champions
12429.0,8,3,2468.9,5,3,5,535,Loyal Customers
12430.0,42,1,256.4,3,1,2,312,Others
12431.0,35,13,5713.5,3,5,5,355,Loyal Customers
12432.0,42,5,5059.32,3,4,5,345,Loyal Customers
12433.0,0,5,9588.75,5,4,5,545,Champions
12434.0,84,2,806.14,2,2,3,223,Hibernating
12435.0,79,2,7829.89,2,2,5,225,Hibernating
12436.0,99,1,509.01,2,1,3,213,Hibernating
12437.0,1,18,4951.41,5,5,5,555,Champions
12438.0,13,2,2906.85,4,2,5,425,Potential Loyalist
12442.0,2,1,172.06,5,1,1,511,Potential Loyalist
12444.0,20,5,5005.46,4,4,5,445,Champions
12445.0,21,1,133.4,4,1,1,411,Potential Loyalist
12446.0,57,1,1002.31,3,1,4,314,Others
12447.0,242,1,476.49,1,1,2,112,Hibernating
12448.0,43,1,449.45,3,1,2,312,Others
12449.0,21,4,4067.29,4,4,5,445,Champions
12450.0,155,2,197.88,2,2,1,221,Hibernating
12451.0,10,5,9035.52,5,4,5,545,Champions
12452.0,16,2,430.57,4,2,2,422,Potential Loyalist
12453.0,133,1,707.09,2,1,3,213,Hibernating
12454.0,55,1,3528.34,3,1,5,315,Others
12455.0,72,6,2466.86,2,5,5,255,At Risk
12456.0,43,3,3181.04,3,3,5,335,Loyal Customers
12457.0,65,7,2363.23,3,5,5,355,Loyal Customers
12458.0,70,2,947.4,2,2,4,224,Hibernating
12461.0,93,2,826.88,2,2,3,223,Hibernating
12462.0,18,2,1189.59,4,2,4,424,Potential Loyalist
12463.0,52,4,1344.78,3,4,4,344,Loyal Customers
12464.0,9,8,1212.05,5,5,4,554,Champions
12465.0,16,2,742.19,4,2,3,423,Potential Loyalist
12468.0,187,2,729.54,1,2,3,123,Hibernating
12471.0,1,26,15949.69,5,5,5,555,Champions
12472.0,31,6,4940.81,3,5,5,355,Loyal Customers
12473.0,28,5,3928.05,4,4,5,445,Champions
12474.0,16,18,7324.09,4,5,5,455,Champions
12475.0,53,1,723.38,3,1,3,313,Others
12476.0,15,10,6803.97,4,5,5,455,Champions
12477.0,22,6,13219.74,4,5,5,455,Champions
12478.0,3,1,680.99,5,1,3,513,Potential Loyalist
12479.0,10,1,527.2,5,1,3,513,Potential Loyalist
12480.0,27,4,3281.63,4,4,5,445,Champions
12481.0,22,8,4788.48,4,5,5,455,Champions
12483.0,16,8,2484.98,4,5,5,455,Champions
12484.0,32,6,4527.32,3,5,5,355,Loyal Customers
12488.0,9,3,1298.66,5,3,4,534,Loyal Customers
12489.0,335,1,334.93,1,1,2,112,Hibernating
12490.0,4,10,5417.93,5,5,5,555,Champions
12491.0,38,1,460.4,3,1,2,312,Others
12492.0,62,2,263.21,3,2,2,322,Others
12493.0,165,2,433.74,1,2,2,122,Hibernating
12494.0,15,5,1183.55,4,4,4,444,Champions
12497.0,81,1,1043.1,2,1,4,214,Hibernating
12498.0,20,3,403.7,4,3,2,432,Loyal Customers
12500.0,22,11,4257.82,4,5,5,455,Champions
12501.0,336,1,2169.39,1,1,5,115,Hibernating
12502.0,95,5,3723.87,2,4,5,245,At Risk
12504.0,17,2,482.05,4,2,3,423,Potential Loyalist
12506.0,232,1,73.5,1,1,1,111,Hibernating
12507.0,133,3,1304.81,2,3,4,234,At Risk
12508.0,25,2,397.88,4,2,2,422,Potential Loyalist
12509.0,283,1,176.5,1,1,1,111,Hibernating
12510.0,142,2,982.57,2,2,4,224,Hibernating
12512.0,65,2,132.18,3,2,1,321,Others
12513.0,112,1,612.29,2,1,3,213,Hibernating
12514.0,266,1,1017.68,1,1,4,114,Hibernating
12516.0,77,2,1312.06,2,2,4,224,Hibernating
12517.0,27,5,2481.6,4,4,5,445,Champions
12518.0,0,5,2056.89,5,4,5,545,Champions
12519.0,63,1,330.84,3,1,2,312,Others
12520.0,78,5,2634.26,2,4,5,245,At Risk
12521.0,142,1,599.68,2,1,3,213,Hibernating
12522.0,38,2,192.72,3,2,1,321,Others
12523.0,18,11,1789.77,4,5,4,454,Champions
12524.0,8,8,4485.72,5,5,5,555,Champions
12526.0,0,3,1316.66,5,3,4,534,Loyal Customers
12527.0,81,3,348.71,2,3,2,232,At Risk
12528.0,8,6,1933.48,5,5,4,554,Champions
12530.0,59,4,1662.28,3,4,4,344,Loyal Customers
12531.0,14,1,125.22,4,1,1,411,Potential Loyalist
12532.0,29,1,349.83,4,1,2,412,Potential Loyalist
12534.0,130,1,1089.18,2,1,4,214,Hibernating
12535.0,91,2,716.35,2,2,3,223,Hibernating
12536.0,42,3,12601.83,3,3,5,335,Loyal Customers
12538.0,28,1,363.95,4,1,2,412,Potential Loyalist
12539.0,21,4,5568.35,4,4,5,445,Champions
12540.0,19,16,12519.23,4,5,5,455,Champions
12541.0,29,3,981.18,4,3,4,434,Loyal Customers
12544.0,35,1,372.7,3,1,2,312,Others
12545.0,74,2,1000.39,2,2,4,224,Hibernating
12546.0,46,2,1161.5,3,2,4,324,Others
12547.0,197,2,207.8,1,2,1,121,Hibernating
12548.0,165,1,95.2,1,1,1,111,Hibernating
12550.0,78,1,964.83,2,1,4,214,Hibernating
12552.0,38,2,437.82,3,2,2,322,Others
12553.0,7,10,3692.28,5,5,5,555,Champions
12556.0,49,2,599.56,3,2,3,323,Others
12557.0,15,4,11370.96,4,4,5,445,Champions
12558.0,7,1,269.96,5,1,2,512,Potential Loyalist
12559.0,310,2,561.71,1,2,3,123,Hibernating
12560.0,4,3,2134.01,5,3,5,535,Loyal Customers
12561.0,302,1,238.85,1,1,1,111,Hibernating
12562.0,7,7,3781.74,5,5,5,555,Champions
12564.0,260,1,456.9,1,1,2,112,Hibernating
12565.0,288,1,145.92,1,1,1,111,Hibernating
12566.0,85,1,351.65,2,1,2,212,Hibernating
12567.0,22,8,7458.9,4,5,5,455,Champions
12569.0,1,32,4124.69,5,5,5,555,Champions
12571.0,39,2,519.61,3,2,3,323,Others
12572.0,8,2,1020.42,5,2,4,524,Potential Loyalist
12573.0,226,1,160.54,1,1,1,111,Hibernating
12574.0,315,1,218.45,1,1,1,111,Hibernating
12576.0,35,5,1315.83,3,4,4,344,Loyal Customers
12577.0,34,2,430.71,3,2,2,322,Others
12578.0,20,2,2794.51,4,2,5,425,Potential Loyalist
12579.0,77,1,440.42,2,1,2,212,Hibernating
12580.0,246,1,415.7,1,1,2,112,Hibernating
12581.0,39,1,197.71,3,1,1,311,Others
12582.0,238,2,511.36,1,2,3,123,Hibernating
12583.0,2,14,6425.52,5,5,5,555,Champions
12584.0,3,9,2338.15,5,5,5,555,Champions
12585.0,233,1,777.25,1,1,3,113,Hibernating
12586.0,16,1,196.94,4,1,1,411,Potential Loyalist
12587.0,7,1,144.0,5,1,1,511,Potential Loyalist
12588.0,38,1,214.9,3,1,1,311,Others
12589.0,28,2,646.68,4,2,3,423,Potential Loyalist
12590.0,210,2,9864.26,1,2,5,125,Hibernating
12591.0,316,1,452.85,1,1,2,112,Hibernating
12592.0,91,2,437.6,2,2,2,222,Hibernating
12593.0,108,3,418.1,2,3,2,232,At Risk
12594.0,37,10,3338.22,3,5,5,355,Loyal Customers
12596.0,50,2,618.27,3,2,3,323,Others
12597.0,18,4,3811.22,4,4,5,445,Champions
12598.0,9,8,3023.08,5,5,5,555,Champions
12599.0,28,7,1032.58,4,5,4,454,Champions
12600.0,28,8,2324.24,4,5,5,455,Champions
12601.0,189,5,577.06,1,4,3,143,At Risk
12602.0,58,1,153.12,3,1,1,311,Others
12603.0,21,1,739.2,4,1,3,413,Potential Loyalist
12604.0,78,2,254.18,2,2,2,222,Hibernating
12607.0,59,1,1579.51,3,1,4,314,Others
12609.0,77,3,1126.85,2,3,4,234,At Risk
12610.0,22,5,2099.54,4,4,5,445,Champions
12611.0,51,1,1193.32,3,1,4,314,Others
12612.0,73,1,704.04,2,1,3,213,Hibernating
12613.0,56,5,3344.38,3,4,5,345,Loyal Customers
12614.0,277,1,315.6,1,1,2,112,Hibernating
12615.0,1,4,2291.19,5,4,5,545,Champions
12616.0,94,2,713.3,2,2,3,223,Hibernating
12617.0,28,1,352.98,4,1,2,412,Potential Loyalist
12618.0,21,1,177.31,4,1,1,411,Potential Loyalist
12619.0,15,9,3641.24,4,5,5,455,Champions
12620.0,14,3,1339.41,4,3,4,434,Loyal Customers
12621.0,1,18,12306.02,5,5,5,555,Champions
12622.0,231,1,180.1,1,1,1,111,Hibernating
12623.0,275,1,305.1,1,1,2,112,Hibernating
12624.0,105,2,641.13,2,2,3,223,Hibernating
12625.0,211,2,2683.82,1,2,5,125,Hibernating
12626.0,22,9,6620.48,4,5,5,455,Champions
12627.0,10,7,4478.53,5,5,5,555,Champions
12628.0,3,3,786.46,5,3,3,533,Loyal Customers
12630.0,9,2,1270.88,5,2,4,524,Potential Loyalist
12631.0,56,1,640.5,3,1,3,313,Others
12633.0,58,4,2163.98,3,4,5,345,Loyal Customers
12635.0,89,2,1689.18,2,2,4,224,Hibernating
12637.0,66,8,6002.9,3,5,5,355,Loyal Customers
12638.0,32,1,671.69,3,1,3,313,Others
12639.0,238,1,486.1,1,1,3,113,Hibernating
12640.0,23,3,1174.58,4,3,4,434,Loyal Customers
12641.0,114,1,185.9,2,1,1,211,Hibernating
12642.0,24,3,1013.26,4,3,4,434,Loyal Customers
12643.0,127,6,3344.64,2,5,5,255,At Risk
12644.0,129,1,477.91,2,1,2,212,Hibernating
12645.0,33,4,1775.18,3,4,4,344,Loyal Customers
12646.0,4,2,1346.97,5,2,4,524,Potential Loyalist
12647.0,21,8,2529.22,4,5,5,455,Champions
12648.0,154,1,318.05,2,1,2,212,Hibernating
12649.0,106,3,623.51,2,3,3,233,At Risk
12650.0,2,1,314.44,5,1,2,512,Potential Loyalist
12651.0,334,1,114.0,1,1,1,111,Hibernating
12652.0,330,1,919.98,1,1,4,114,Hibernating
12653.0,148,2,2209.85,2,2,5,225,Hibernating
12654.0,10,5,601.98,5,4,3,543,Loyal Customers
12656.0,16,5,4051.17,4,4,5,445,Champions
12657.0,10,4,1643.18,5,4,4,544,Champions
12658.0,18,1,686.05,4,1,3,413,Potential Loyalist
12659.0,29,1,91.68,4,1,1,411,Potential Loyalist
12660.0,10,1,245.1,5,1,2,512,Potential Loyalist
12662.0,0,10,3588.3,5,5,5,555,Champions
12664.0,7,9,4881.88,5,5,5,555,Champions
12665.0,324,1,63.0,1,1,1,111,Hibernating
12667.0,57,1,620.13,3,1,3,313,Others
12668.0,11,3,3337.28,5,3,5,535,Loyal Customers
12669.0,150,3,2744.03,2,3,5,235,At Risk
12670.0,9,5,2996.05,5,4,5,545,Champions
12672.0,329,1,225.9,1,1,1,111,Hibernating
12673.0,4,2,610.52,5,2,3,523,Potential Loyalist
12674.0,38,4,1970.6,3,4,4,344,Loyal Customers
12676.0,24,6,1331.39,4,5,4,454,Champions
12678.0,41,10,17407.18,3,5,5,355,Loyal Customers
12679.0,58,4,1113.02,3,4,4,344,Loyal Customers
12680.0,0,4,880.81,5,4,3,543,Loyal Customers
12681.0,14,20,11669.43,4,5,5,455,Champions
12682.0,3,29,11204.53,5,5,5,555,Champions
12683.0,3,13,7413.49,5,5,5,555,Champions
12684.0,7,7,2283.63,5,5,5,555,Champions
12685.0,27,6,2863.08,4,5,5,455,Champions
12688.0,113,1,4873.81,2,1,5,215,Hibernating
12689.0,25,2,1247.61,4,2,4,424,Potential Loyalist
12690.0,205,1,389.01,1,1,2,112,Hibernating
12691.0,27,5,855.8,4,4,3,443,Loyal Customers
12693.0,126,4,855.91,2,4,3,243,At Risk
12694.0,69,2,869.67,2,2,3,223,Hibernating
12695.0,6,4,582.1,5,4,3,543,Loyal Customers
12697.0,28,3,957.59,4,3,4,434,Loyal Customers
12700.0,7,4,4939.99,5,4,5,545,Champions
12701.0,79,2,797.71,2,2,3,223,Hibernating
12702.0,19,1,219.0,4,1,1,411,Potential Loyalist
12703.0,70,1,283.55,2,1,2,212,Hibernating
12704.0,6,8,2340.84,5,5,5,555,Champions
12705.0,14,8,6010.29,4,5,5,455,Champions
12707.0,291,1,603.42,1,1,3,113,Hibernating
12708.0,29,9,2516.47,4,5,5,455,Champions
12709.0,14,13,8390.83,4,5,5,455,Champions
12710.0,96,3,1149.02,2,3,4,234,At Risk
12712.0,28,11,3925.5,4,5,5,455,Champions
12713.0,0,1,848.55,5,1,3,513,Potential Loyalist
12714.0,8,5,4708.86,5,4,5,545,Champions
12715.0,105,1,343.36,2,1,2,212,Hibernating
12716.0,3,2,1053.49,5,2,4,524,Potential Loyalist
12717.0,150,2,1030.98,2,2,4,224,Hibernating
12718.0,70,1,238.25,2,1,1,211,Hibernating
12719.0,4,2,644.95,5,2,3,523,Potential Loyalist
12720.0,2,23,5124.6,5,5,5,555,Champions
12721.0,31,5,2369.53,3,4,5,345,Loyal Customers
12722.0,84,4,997.63,2,4,4,244,At Risk
12723.0,3,5,725.07,5,4,3,543,Loyal Customers
12724.0,4,4,1031.41,5,4,4,544,Champions
12726.0,27,6,2438.82,4,5,5,455,Champions
12727.0,10,7,3980.7,5,5,5,555,Champions
12728.0,70,4,836.33,2,4,3,243,At Risk
12729.0,113,1,453.01,2,1,2,212,Hibernating
12731.0,23,11,17824.01,4,5,5,455,Champions
12732.0,179,1,236.26,1,1,1,111,Hibernating
12733.0,233,1,383.95,1,1,2,112,Hibernating
12735.0,314,2,779.57,1,2,3,123,Hibernating
12736.0,332,1,234.0,1,1,1,111,Hibernating
12739.0,77,2,1013.04,2,2,4,224,Hibernating
12740.0,63,1,427.6,3,1,2,312,Others
12743.0,133,2,540.13,2,2,3,223,Hibernating
12744.0,51,7,21279.29,3,5,5,355,Loyal Customers
12747.0,1,9,3489.74,5,5,5,555,Champions
12748.0,0,175,28868.19,5,5,5,555,Champions
12749.0,3,5,4090.88,5,4,5,545,Champions
12750.0,128,1,275.88,2,1,2,212,Hibernating
12752.0,80,1,4366.78,2,1,5,215,Hibernating
12753.0,22,5,17838.8,4,4,5,445,Champions
12754.0,235,3,3010.74,1,3,5,135,At Risk
12755.0,280,1,17.55,1,1,1,111,Hibernating
12756.0,86,1,112.08,2,1,1,211,Hibernating
12757.0,15,13,7834.65,4,5,5,455,Champions
12758.0,116,2,2791.59,2,2,5,225,Hibernating
12759.0,51,3,1531.44,3,3,4,334,Loyal Customers
12762.0,7,2,1898.52,5,2,4,524,Potential Loyalist
12763.0,137,1,174.0,2,1,1,211,Hibernating
12764.0,316,1,1693.88,1,1,4,114,Hibernating
12766.0,3,6,5840.34,5,5,5,555,Champions
12769.0,238,1,1143.6,1,1,4,114,Hibernating
12770.0,210,1,1351.45,1,1,4,114,Hibernating
12772.0,59,1,892.47,3,1,3,313,Others
12775.0,16,5,1386.04,4,4,4,444,Champions
12778.0,19,6,822.23,4,5,3,453,Loyal Customers
12779.0,37,7,3733.2,3,5,5,355,Loyal Customers
12781.0,63,2,826.74,3,2,3,323,Others
12782.0,4,4,1867.42,5,4,4,544,Champions
12783.0,1,6,2225.91,5,5,5,555,Champions
12784.0,8,2,532.82,5,2,3,523,Potential Loyalist
12787.0,9,3,463.66,5,3,2,532,Loyal Customers
12789.0,64,1,91.85,3,1,1,311,Others
12790.0,191,1,324.92,1,1,2,112,Hibernating
12792.0,256,1,400.54,1,1,2,112,Hibernating
12793.0,334,1,413.68,1,1,2,112,Hibernating
12794.0,52,2,860.41,3,2,3,323,Others
12795.0,18,1,430.48,4,1,2,412,Potential Loyalist
12798.0,9,3,6977.04,5,3,5,535,Loyal Customers
12802.0,186,1,427.58,1,1,2,112,Hibernating
12808.0,36,2,354.25,3,2,2,322,Others
12809.0,177,1,489.31,1,1,3,113,Hibernating
12811.0,260,3,514.85,1,3,3,133,At Risk
12812.0,44,1,229.64,3,1,1,311,Others
12814.0,101,1,125.92,2,1,1,211,Hibernating
12815.0,147,2,1063.46,2,2,4,224,Hibernating
12816.0,95,2,572.2,2,2,3,223,Hibernating
12817.0,280,1,166.04,1,1,1,111,Hibernating
12818.0,261,1,1542.08,1,1,4,114,Hibernating
12820.0,2,4,942.34,5,4,4,544,Champions
12821.0,213,1,92.72,1,1,1,111,Hibernating
12822.0,70,2,948.88,2,2,4,224,Hibernating
12823.0,74,5,1759.5,2,4,4,244,At Risk
12824.0,59,1,397.12,3,1,2,312,Others
12826.0,2,6,1319.72,5,5,4,554,Champions
12827.0,5,3,430.15,5,3,2,532,Loyal Customers
12828.0,2,6,1018.71,5,5,4,554,Champions
12829.0,336,1,207.25,1,1,1,111,Hibernating
12830.0,37,6,6814.64,3,5,5,355,Loyal Customers
12831.0,261,1,215.05,1,1,1,111,Hibernating
12832.0,31,2,383.03,3,2,2,322,Others
12833.0,144,1,417.38,2,1,2,212,Hibernating
12834.0,282,1,312.38,1,1,2,112,Hibernating
12836.0,58,4,2610.36,3,4,5,345,Loyal Customers
12837.0,172,1,134.1,1,1,1,111,Hibernating
12838.0,33,1,281.16,3,1,2,312,Others
12839.0,2,12,4853.97,5,5,5,555,Champions
12840.0,143,4,2726.77,2,4,5,245,At Risk
12841.0,4,23,3485.59,5,5,5,555,Champions
12842.0,69,2,1118.99,2,2,4,224,Hibernating
12843.0,65,8,1702.26,3,5,4,354,Loyal Customers
12844.0,28,2,325.96,4,2,2,422,Potential Loyalist
12845.0,266,4,354.09,1,4,2,142,At Risk
12847.0,21,1,843.64,4,1,3,413,Potential Loyalist
12849.0,30,2,1010.29,4,2,4,424,Potential Loyalist
12851.0,96,1,131.81,2,1,1,211,Hibernating
12852.0,294,1,311.55,1,1,2,112,Hibernating
12853.0,134,6,1957.1,2,5,4,254,At Risk
12854.0,78,3,1316.25,2,3,4,234,At Risk
12856.0,7,6,2170.78,5,5,5,555,Champions
12857.0,210,2,1106.4,1,2,4,124,Hibernating
12863.0,51,1,521.2,3,1,3,313,Others
12864.0,137,1,147.12,2,1,1,211,Hibernating
12865.0,25,2,1568.23,4,2,4,424,Potential Loyalist
12866.0,282,1,559.12,1,1,3,113,Hibernating
12867.0,25,6,3646.55,4,5,5,455,Champions
12868.0,185,5,1403.76,1,4,4,144,At Risk
12871.0,83,2,380.64,2,2,2,222,Hibernating
12872.0,326,1,221.44,1,1,1,111,Hibernating
12873.0,281,1,374.0,1,1,2,112,Hibernating
12875.0,142,1,49.47,2,1,1,211,Hibernating
12876.0,57,2,2218.02,3,2,5,325,Others
12877.0,3,11,1385.71,5,5,4,554,Champions
12878.0,235,2,854.99,1,2,3,123,Hibernating
12879.0,44,3,573.22,3,3,3,333,Loyal Customers
12881.0,275,1,298.0,1,1,2,112,Hibernating
12882.0,8,2,1463.04,5,2,4,524,Potential Loyalist
12883.0,24,4,703.47,4,4,3,443,Loyal Customers
12884.0,87,1,309.05,2,1,2,212,Hibernating
12885.0,62,3,1175.22,3,3,4,334,Loyal Customers
12886.0,67,2,1378.4,2,2,4,224,Hibernating
12888.0,213,2,354.12,1,2,2,122,Hibernating
12890.0,23,1,376.72,4,1,2,412,Potential Loyalist
12891.0,185,3,331.0,1,3,2,132,At Risk
12893.0,30,1,176.55,4,1,1,411,Potential Loyalist
12895.0,41,2,372.8,3,2,2,322,Others
12897.0,204,2,216.5,1,2,1,121,Hibernating
12901.0,8,28,17654.54,5,5,5,555,Champions
12902.0,264,1,138.68,1,1,1,111,Hibernating
12904.0,17,2,496.06,4,2,3,423,Potential Loyalist
12906.0,11,5,2919.81,5,4,5,545,Champions
12908.0,175,2,750.0,1,2,3,123,Hibernating
12909.0,39,5,2178.67,3,4,5,345,Loyal Customers
12910.0,22,8,3075.04,4,5,5,455,Champions
12912.0,2,5,1662.3,5,4,4,544,Champions
12913.0,4,4,2066.01,5,4,5,545,Champions
12915.0,148,1,164.0,2,1,1,211,Hibernating
12916.0,138,4,2944.95,2,4,5,245,At Risk
12917.0,127,1,594.0,2,1,3,213,Hibernating
12919.0,7,6,1335.19,5,5,4,554,Champions
12920.0,16,1,162.78,4,1,1,411,Potential Loyalist
12921.0,8,35,15899.29,5,5,5,555,Champions
12922.0,160,1,405.38,2,1,2,212,Hibernating
12923.0,63,1,172.82,3,1,1,311,Others
12924.0,87,4,933.7,2,4,4,244,At Risk
12925.0,4,2,694.05,5,2,3,523,Potential Loyalist
12928.0,34,4,1670.36,3,4,4,344,Loyal Customers
12929.0,311,1,117.85,1,1,1,111,Hibernating
12930.0,77,2,415.8,2,2,2,222,Hibernating
12931.0,21,13,41878.96,4,5,5,455,Champions
12933.0,23,3,607.53,4,3,3,433,Loyal Customers
12935.0,1,7,2160.7,5,5,5,555,Champions
12936.0,16,4,1063.9,4,4,4,444,Champions
12937.0,14,4,1504.27,4,4,4,444,Champions
12938.0,25,1,114.14,4,1,1,411,Potential Loyalist
12939.0,63,8,11581.8,3,5,5,355,Loyal Customers
12940.0,54,2,899.69,3,2,3,323,Others
12942.0,130,2,416.85,2,2,2,222,Hibernating
12944.0,35,1,317.56,3,1,2,312,Others
12945.0,287,1,462.95,1,1,2,112,Hibernating
12947.0,143,5,1299.95,2,4,4,244,At Risk
12948.0,15,7,2064.95,4,5,5,455,Champions
12949.0,30,8,4167.22,4,5,5,455,Champions
12950.0,1,3,1843.0,5,3,4,534,Loyal Customers
12951.0,8,6,1064.07,5,5,4,554,Champions
12952.0,5,4,1387.79,5,4,4,544,Champions
12953.0,9,1,329.85,5,1,2,512,Potential Loyalist
12955.0,0,11,4757.16,5,5,5,555,Champions
12956.0,305,1,108.07,1,1,1,111,Hibernating
12957.0,9,8,4017.54,5,5,5,555,Champions
12962.0,6,2,266.39,5,2,2,522,Potential Loyalist
12963.0,7,7,1490.83,5,5,4,554,Champions
12965.0,88,1,769.81,2,1,3,213,Hibernating
12966.0,9,1,160.18,5,1,1,511,Potential Loyalist
12968.0,111,1,135.95,2,1,1,211,Hibernating
12970.0,6,4,405.47,5,4,2,542,Loyal Customers
12971.0,3,81,10753.72,5,5,5,555,Champions
12974.0,197,1,144.8,1,1,1,111,Hibernating
12976.0,211,1,738.6,1,1,3,113,Hibernating
12977.0,155,1,39.24,2,1,1,211,Hibernating
12980.0,157,8,6485.58,2,5,5,255,At Risk
12981.0,29,2,372.22,4,2,2,422,Potential Loyalist
12982.0,242,1,390.54,1,1,2,112,Hibernating
12984.0,18,1,97.5,4,1,1,411,Potential Loyalist
12985.0,0,2,1239.38,5,2,4,524,Potential Loyalist
12987.0,73,2,558.7,2,2,3,223,Hibernating
12988.0,291,1,505.82,1,1,3,113,Hibernating
12989.0,2,14,6721.61,5,5,5,555,Champions
12990.0,30,3,409.5,4,3,2,432,Loyal Customers
12991.0,22,2,503.76,4,2,3,423,Potential Loyalist
12993.0,22,4,414.76,4,4,2,442,Loyal Customers
12994.0,3,3,974.42,5,3,4,534,Loyal Customers
12995.0,84,1,211.32,2,1,1,211,Hibernating
12997.0,21,4,1226.89,4,4,4,444,Champions
12999.0,195,3,455.88,1,3,2,132,At Risk
13000.0,106,2,333.1,2,2,2,222,Hibernating
13001.0,3,13,9785.97,5,5,5,555,Champions
13002.0,317,1,120.95,1,1,1,111,Hibernating
13003.0,105,3,149.05,2,3,1,231,At Risk
13004.0,11,17,5298.9,5,5,5,555,Champions
13005.0,173,2,513.7,1,2,3,123,Hibernating
13006.0,55,1,81.57,3,1,1,311,Others
13008.0,322,1,229.47,1,1,1,111,Hibernating
13012.0,8,8,1646.84,5,5,4,554,Champions
13013.0,0,11,3282.6,5,5,5,555,Champions
13014.0,10,10,3466.28,5,5,5,555,Champions
13015.0,52,5,3339.64,3,4,5,345,Loyal Customers
13016.0,72,3,789.89,2,3,3,233,At Risk
13017.0,6,1,204.0,5,1,1,511,Potential Loyalist
13018.0,15,28,7277.7,4,5,5,455,Champions
13021.0,3,8,2459.03,5,5,5,555,Champions
13023.0,63,2,689.9,3,2,3,323,Others
13026.0,0,5,975.36,5,4,4,544,Champions
13027.0,113,5,5472.0,2,4,5,245,At Risk
13028.0,22,2,661.32,4,2,3,423,Potential Loyalist
13029.0,30,2,865.0,4,2,3,423,Potential Loyalist
13030.0,10,1,350.08,5,1,2,512,Potential Loyalist
